,rotowire_id,sportradar_id,full_name,gsis_id,search_full_name,news_updated,position,rotoworld_id,depth_chart_position,injury_start_date,injury_notes,last_name,espn_id,yahoo_id,sport,pandascore_id,first_name,injury_body_part,stats_id,age,birth_country,number,player_id,weight,status,search_first_name,practice_participation,birth_state,search_last_name,team,oddsjam_id,practice_description,birth_date,search_rank,injury_status,hashtag,swish_id,height,active,high_school,depth_chart_order,fantasy_positions,years_exp,metadata,fantasy_data_id,college,birth_city
3992,,,Dave Caldwell,,davecaldwell,,,9502,,,,Caldwell,,,nfl,,Dave,,,,,0,3992,,Inactive,dave,,,caldwell,,,,,9999999,,#davecaldwell-NFL-FA-0,,,False,,,,0,,18829,,
6744,11883,0832c8ad-0872-446f-ad6e-0e309e8443d1,Greg Ward,00-0033733,gregward,1701369054448,WR,12815,,,,Ward,3040035,30715,nfl,,Greg,,741292,28,,84,6744,190,Active,greg,,,ward,PHI,3349E777E3F6,,1995-07-12,9999999,,#gregward-NFL-PHI-84,741292,71,True,John Tyler (TX),,['WR'],6,{'rookie_year': '2017'},19705,Houston,
1591,8704,af867ba7-f44e-4c1f-a4b3-61a9b5a7065d,Alvin Bailey,,alvinbailey,,G,8690,,,,Bailey,16044,26894,nfl,,Alvin,,,29,,78,1591,320,Inactive,alvin,,,bailey,,,,1991-08-26,9999999,,#alvinbailey-NFL-FA-78,,"6'3""",False,Broken Arrow (OK),,['OL'],7,,15244,Arkansas,
918,7384,38f5843a-8318-4eb7-b517-c83d415e77a4,Niles Paul,00-0028093,nilespaul,1565134827397,TE,6661,,,,Paul,14156,24942,nfl,,Niles,,406159,32,,0,918,242,Injured Reserve,niles,,,paul,,,,1989-08-09,9999999,,#nilespaul-NFL-FA-0,,73,False,Millard North (NE),,['TE'],11,,13170,Nebraska,
4810,,e2610400-52c1-4894-85a2-26437b5d9367,Kwayde Miller,,kwaydemiller,,OT,,,,,Miller,2976120,30668,nfl,,Kwayde,,,28,,63,4810,315,Active,kwayde,,,miller,,,,1993-12-11,9999999,,#kwaydemiller-NFL-FA-63,,79,True,Ramona,,['OL'],5,,19247,San Diego State,
4910,9033,3b6aa74d-d3a9-445f-8415-254d6cabe7a9,Quincy McDuffie,,quincymcduffie,,WR,,,,,McDuffie,,26886,nfl,,Quincy,,,31,,16,4910,178,Active,quincy,,,mcduffie,,,,1990-09-24,9999999,,#quincymcduffie-NFL-FA-16,,70,True,Edgewater (FL),,['WR'],9,,15554,Central Florida,
663,3872,d81844de-54c3-42ee-9850-072dc4131b6f,Benjamin Watson,00-0022943,benjaminwatson,1584377415560,TE,48,,,,Watson,5557,6791,nfl,,Benjamin,,246082,41,,0,663,255,Injured Reserve,benjamin,,,watson,,,,1980-12-18,9999999,,#benjaminwatson-NFL-FA-0,,75,True,Northwestern (SC),,['TE'],18,,11756,Georgia,
7209,14790,e8501155-901b-4ae5-929c-354b46c64c1f,Garrett Taylor,,garretttaylor,,S,,,,,Taylor,,33328,nfl,,Garrett,,,25,,0,7209,198,Active,garrett,,,taylor,,,,1996-11-07,9999999,,#garretttaylor-NFL-FA-0,,72,True,St. Christopher's (VA),,['DB'],2,,22212,Penn State,
5385,13209,69e38370-3c00-470d-aed2-af98bcddb7c1,Alec Bloom,00-0034472,alecbloom,,TE,,,,,Bloom,3125891,31298,nfl,,Alec,,838256,25,,87,5385,253,Active,alec,,,bloom,,,,1996-04-03,9999999,,#alecbloom-NFL-FA-87,,78,True,Ligonier Valley Senior,,['TE'],4,,20464,Connecticut,
1185,8454,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,Travaris Cadet,00-0029205,travariscadet,1571191251347,RB,7758,,,,Cadet,15457,26024,nfl,,Travaris,,400644,32,,38,1185,210,Inactive,travaris,,,cadet,,,,1989-02-01,9999999,,#travariscadet-NFL-FA-38,,73,False,Miami Central (FL),,['RB'],10,,14352,Appalachian State,
